,code,dept,title,min_units,description,prereqs
126,BISP 197,BISP,Biology Internship Program (2 or 4),2.0,"Individual research on a problem by special arrangement with, and under the direction of, a UC San Diego faculty member and a selected researcher in industry or at a research institution. Projects are expected to involve primary, experimental/analytical approaches that augment training in basic biology and that echo the curricular focus of the Division of Biological Sciences. Application deadlines are strictly enforced. Consult the Division of Biological Sciences website for deadlines. Students must comply with all risk management policies/procedures. P/NP grades only. May be taken for credit three times. Prerequisites: department approval required. Students must complete at least ninety units of credit and have a minimum GPA of 2.5. A completed and approved application/research plan/learning agreement is required for enrollment.",department approval required Students must complete at least ninety units of credit and have a minimum GPA of 25 A completed and approved application/research plan/learning agreement is required for enrollment
127,BISP 198,BISP,Directed Group Study (1 to 4),1.0,Investigation of a topic in biological sciences through directed reading and discussion by a small group of students under the supervision of a faculty member. P/NP grades only. May be taken for credit two times. Prerequisites: department approval required. Enrollment is via department approval only. Students must complete a special studies application. Paperwork for a BISP 198 must be submitted to SIS by Friday of the eighth week of the quarter preceding the quarter in which the 198 will be completed.,department approval required Enrollment is via department approval only Students must complete a special studies application Paperwork for a BISP 198 must be submitted to SIS by Friday of the eighth week of the quarter preceding the quarter in which the 198 will be completed
128,BISP 199,BISP,Individual Research for Undergraduates (2 or 4),2.0,"Individual research on a problem by special arrangement with, and under the direction of, a faculty member. Projects are expected to involve primary, experimental/analytical approaches that augment training in basic biology and that echo the curricular focus of the Division of Biological Sciences. P/NP grades only. May be taken for credit five times. Note: Students must apply to the division via the online system. For complete details, applications, and deadlines, please consult the Division of Biological Sciences website. Application deadlines are strictly enforced. Prerequisites: department approval required. Students must complete at least ninety units of credit and have a minimum GPA of 2.5.",department approval required Students must complete at least ninety units of credit and have a minimum GPA of 25
129,BGGN 200,BGGN,Graduate School Fundamentals: Introduction to Graduate Studies in the Division of Biological Sciences (2),2.0,"Course will cover fundamental issues in academia, including campus resources, research design, ethical issues in research, scientific publishing and review, grant preparation, etc. Required of all first-year doctoral students in the Division of Biological Sciences. S/U grades only. Prerequisites: graduate (PhD) standing only; for students in the following major code BI77, or consent of instructor. (F)","graduate (PhD) standing only; for students in the following major code BI77, or consent of instructor (F)"
130,BGGN 201,BGGN,Methods in Computational Neuroscience (3),3.0,"Introduction to the computational methods most frequently used in neuroscience research. Aimed at first-year graduate students in neuroscience and related disciplines. Minimal quantitative background will be assumed. Topics include Poisson processes, Markov Chains, auto- and cross-correlation analysis, Fourier/Spectral analysis, principal components/linear algebra, signal detection theory, information theory, Bayes Theorem, hypothesis testing. Nongraduate students may enroll with consent of instructor.",
131,BGGN 202,BGGN,Professional Development for Biologists (2),2.0,"Discussions cover professional preparation for future scientists. Topics include how to read/write/publish papers, to write grant and fellowship proposals, to give oral presentations, and how to apply for research positions. Behind-the-scenes look at reviewing papers, grant and fellowship proposals. Discussions of career options in biological sciences will be included. Scientific content is in the area of eukaryotic gene expression, but knowledge is applicable to all areas of biology. Undergraduate students with senior standing may enroll with consent of instructor.",
132,BGGN 203,BGGN,"Topics in Ecology, Behavior, and Evolution (3)",3.0,"The course teaches different topics on theory and key concepts in ecology, behavior, and evolution. Students will read materials in depth, attend weekly discussions, and explore relevant topics, theories, and models with advanced analytical tools. S/U grades only. May be taken for credit three times when topics vary.",
133,BGGN 204,BGGN,Topics in Community and Population Ecology (3),3.0,"This course teaches a different topic each quarter on the theoretical or conceptual side of community and population ecology. Students will read materials in depth, attend weekly discussions, and explore theories and models with statistical, analytical, and algorithmic tools of the trade. S/U grades only. Prerequisites: graduate standing or consent of instructor.",graduate standing or consent of instructor
134,BGGN 205,BGGN,Communicating Science (2),2.0,"Learn effective ways of communicating science in both written and verbal form. Develop an understanding of how to effectively present science for different audiences, including writing for grants and papers, figure generation, and oral presentations. S/U grades only. Prerequisites: graduate standing. Enrollment restricted to the following major codes: BI77 and BI78.",graduate standing Enrollment restricted to the following major codes: BI77 and BI78
135,BGGN 206A,BGGN,Concepts of Reasoning and Experimentation (CORE) I (4),,"This course focuses on key concepts and the methods and logic used to ask and answer challenging biological questions. Course work will be organized around fundamental topics in molecular and cell biology and focus on problem solving, research articles, and/or research seminars to examine best practices in making reasoned scientific arguments and using logical experimental design to tackle biological problems, particularly at the molecular and cellular level. Enrollment restricted to the following major codes: BI77 and BI78.",
136,BGGN 206B,BGGN,Concepts of Reasoning and Experimentation (CORE) II (4),,"This course focuses on key concepts and the methods and logic used to ask and answer challenging biological questions. Course work will be organized around fundamental topics in genetics and multicellular and population biology, with a focus on problem solving, research articles, and/or research seminars to examine best practices in making reasoned scientific arguments and using logical experimental design to tackle biological problems, particularly at the multicellular and organismal level. Letter grade only. Prerequisites: BGGN 206A. Enrollment restricted to the following major codes: BI77 and BI78.",BGGN 206A Enrollment restricted to the following major codes: BI77 and BI78
137,BGGN 207,BGGN,Scientific Ethics (1),1.0,"(Cross-listed with SOMI 226.) Lectures, reading, and discussions about the responsible conduct and reporting of research, working with others in science, and social responsibilities; the course is designed as an option for meeting current federal regulations. S/U grades only. Enrollment restricted to PhD students only in the following major codes: BI77 and BI78. Students should review the following web page prior to enrollment: https://ethics.ucsd.edu/courses/ethics/index.html. Biology PhD students should enroll during spring of year two.",
138,BGGN 208,BGGN,Biological Sciences Graduate Boot Camp (4),4.0,"Intensive lecture-, seminar-, and laboratory-based course for incoming first year students in the biological sciences doctoral program. Topics covered: evolution and quantitative biology, including biostatistics, image analysis, bioinformatics, genomics, evolution, analysis of DNA proteins. During the first two weeks in September, students commit to ten to fifteen hours per day. S/U grades only. Prerequisites: graduate (PhD) standing only; for students in the following major code BI77.",graduate (PhD) standing only; for students in the following major code BI77
139,BGGN 210,BGGN,Neurobiology Boot Camp (4),4.0,"For incoming doctoral students in neurobiology, computational neurobiology, and neurosciences. During first two weeks in September, students commit to ten to fifteen hours per day in lectures and laboratories in electrophysiology, cellular anatomy, molecular biology, optical imaging, and computational neurobiology. Students also attend weekly seminars during fall quarter. Prerequisites: graduate standing; major codes BI77, BI79, NE75.","graduate standing; major codes BI77, BI79, NE75"
140,BGGN 211,BGGN,Recent Advances and Experimental Approaches in Modern Biology (4),4.0,"Introduces students to advanced concepts of modern biology (e.g. molecular and cell biology, biochemistry, genomics, and epigenomics, etc.). Current experimental approaches (including high-throughput sequencing, microarray technology, RNAi, proteomic technologies, ChIP-seq) are discussed using primary research papers. The course provides training in critical analysis of scientific papers, data interpretation, scientific writing, and experimental design. Letter grades only. Enrollment restricted to MS students only in the following major code: BI84.",
141,BGGN 212,BGGN,Introduction to Quantitative Evolutionary Biology (4),4.0,"The goal of the course is to provide an introduction to modern evolutionary biology using quantitative approaches. The course will focus on mathematical modeling, experimental, and genomic approaches to study evolution.",
142,BGGN 213,BGGN,Foundations of Bioinformatics (4),4.0,"This course provides a hands-on introduction to the computer-based analysis of genomic and biomolecular data. Major topics include sequencing technologies, genome informatics, structural bioinformatics, and transcriptomics. Students completing this course will be able to evaluate new genomic and biomolecular information using existing software and will have experience in combining bioinformatic approaches to answer biological questions. Enrollment restricted to the following major codes: BI77, BI78, and BS75. Course limited to PhD level students.",
143,BGGN 214,BGGN,Introduction to Q-Biology (4),4.0,"The course goal is to discuss and work through examples where quantitative biology approaches were necessary to yield novel biological insights. Problems will be presented with a historic perspective to instill a philosophy for when, how, and why q-bio approaches are most effective. The course may also appeal to physics and engineering graduate students. Prerequisites: graduate standing or consent of instructor.",graduate standing or consent of instructor
144,BGGN 215,BGGN,Applied Bioinformatics Lab (4),4.0,Genomics and other “-omics” approaches are key tools for biology and medicine. This course provides a hands-on introduction to the computer-based analysis of genomic and biomolecular data. Students completing this course will be able to apply existing software to real bioinformatic data sets and combine approaches to interpret data and answer specific biological questions. Enrollment restricted to MS students in the following major code: BI84. Students will use their own laptops.,
145,BGGN 216,BGGN,Graduate Biostatistics (4),4.0,"Fundamentals behind and practical application of biostatistics, including central tendency and variability, hypothesis testing, bootstrap methods, inferential techniques (parametric and nonparametric), correlation and regression, and multiple comparison correction. Training in the use of Matlab, which students will use to demonstrate how experimental design, sample selection, and analysis methods impact validity and reproducibility of research. Enrollment restricted to the following major codes: BI77 and BI78. Students will use their own laptop computers.",
146,BGGN 218,BGGN,Principles of Drug Development and Pharmacology (4),4.0,"Introduction to core concepts in drug development along with principles of pharmacokinetics, systems pharmacology, and toxicology. Examples of additional topics include origin and history of pharmacology, advertising versus science, and political influence on access to drugs. Department approval required. Enrollment restricted to MS/PhD students only in the following major codes: BI84, BI77, BI78. Students who have completed BIMM 118 are not eligible to enroll in BGGN 218 due to duplicate content.",
147,BGGN 220,BGGN,Graduate Molecular Biology (6),6.0,"Provides a broad, advanced-level coverage of modern molecular biology for graduate students. Topics include gene structure and regulation, chromatin structure, mechanisms of transcription, RNA processing, translation, and turnover. The format includes lectures and discussion of selected papers. Letter grades only.",
148,BGGN 222,BGGN,Graduate Cell Biology (4),4.0,"Coverage of modern cell biology. Topics will be chosen from the following: the structure and function of membranes; endocytosis; protein targeting; intracellular organelles, including the nucleus, ER, Golgi; the cytoskeleton and molecular motors; mitosis and cell division; autophagy; cell death; cell signaling; cell-cell interactions. The course will include discussions on molecular approaches to cell biology as well as dissecting interconnections between cell biology and disease. Letter grades only.",
149,BGGN 223,BGGN,Graduate Genetics (4),4.0,"Advanced coverage of classical and cutting-edge genetic technologies in a wide variety of organisms—bacteria, plants, insects, worms, fish, and mammals. The power of genetic approaches to provide fundamental insights into important questions in development, physiology, behavior, medicine, and evolution. Course format centered on discussion of research papers with genetic analysis at their core. Emphasis on exploring essential genetic concepts, principles, and mechanisms throughout biology. Letter grades only.",
150,BGGN 225,BGGN,Graduate Immunology (4),4.0,The course is devoted to immunology and is organized as a combined lecture-tutorial course stressing classical as well as current literature. Each week will compose an independent section. Topics will include cellular interactions involved in the immune response and the molecular biology unique to lymphoid factor and receptors. Prerequisites: open only to students enrolled in a graduate degree program. Letter grades only.,open only to students enrolled in a graduate degree program Letter grades only
151,BGGN 226,BGGN,Graduate Animal Virology (4),4.0,"This course consists of a review of fundamental concepts together with an in-depth analysis of the structure, genetics, multiplication and oncogenicity of animal viruses. Particular emphasis will be given to the DNA and RNA tumor viruses. The format of this section includes lectures and discussion of selected papers. Prerequisites: open only to students enrolled in a graduate degree program. Letter grades only.",open only to students enrolled in a graduate degree program Letter grades only
152,BGGN 227,BGGN,Graduate Topics in Plant Biology (4),4.0,"This course covers advanced topics in plant biology in the areas of molecular genetic developmental, and physiological biology. We will discuss plant-microbe interactions, transposable elements, protein trafficking, ion transport, and organ development. The format of this section includes lectures and discussion of selected papers. Prerequisites: open only to students enrolled in a graduate degree program. Letter grades only.",open only to students enrolled in a graduate degree program Letter grades only
153,BGGN 228,BGGN,Graduate Developmental Biology (4),4.0,"This course covers graduate level lectures on developmental biology, emphasizing the use of genetically tractable model systems. Discussion of recent research articles is an integral aspect of this course. Students are introduced to classical experiments and given detailed coverage of recent fundamental findings in developmental biology. Prerequisites: open only to students enrolled in a graduate degree program. Letter grades only.",open only to students enrolled in a graduate degree program Letter grades only
154,BGGN 230,BGGN,Graduate Signal Transduction (4),4.0,The course will introduce students to a variety of signal transduction pathways and their function in the regulation of cellular processes. Special emphasis will be given to signaling cascades regulating immunological responses and alterations of signaling pathways during oncogenesis. Open only to students enrolled in a graduate degree program. Letter grades only.,
155,BGGN 231,BGGN,Current Concepts in Stem Cell Biology (4),4.0,"Research papers from all aspects of stem cell biology will be read, presented, and discussed. Papers will range from landmark to current studies, spanning many developmental organisms and cell types. Students will present one paper, provide relevant background, and lead discussions. Prerequisites: graduate standing or consent of instructor.",graduate standing or consent of instructor
156,BGGN 232,BGGN,Innate Immunity (4),4.0,"The course will discuss the current understanding of innate immunity, including in organisms such as plants and invertebrates. Through readings and weekly presentations, students will learn the basic concepts of innate immunity including how immunity can be disrupted by pathogen effectors. Recent findings in these rapidly advancing fields will be covered. The course will include weekly seminar-style presentations in which each student will present once during the quarter.",
157,BGGN 234,BGGN,Practical Histopathology and Mouse Models of Human Disease (2),2.0,"(Cross-listed with PATH 234, MED 234, BIOM 238.) This course is designed to train those who need to analyze mouse models of human disease that are an essential part of their research. Sessions will include hematology, chemistry, histology, and immunohistochemistry methods used in the phenotyping assays. (Quarter offered varies and course is not offered every year.) Prerequisites: standard undergraduate biology courses.",standard undergraduate biology courses
158,BGGN 236,BGGN,Advanced Glycobiology (4),4.0,"(Cross-listed with BIOM 222, CMM 225, MED 225, CHEM 237.) Advanced elective for graduate/medical students who have had core courses in cell biology or biochemistry. Expert faculty will present a coordinated overview of the field of glycobiology, which explores the structure, synthesis, and functions of sugar chains in biological systems.",
159,BGGN 237,BGGN,Quantitative Methods in Genetics (4),4.0,"(Cross-listed with BIOM 262, CMM 262.) This advanced problem-oriented course will examine experimental design, laboratory methods, and quantitative analytical tools used in genetic and genomic research. Students will analyze supplied data using a variety of software packages. Prerequisites: BGGN 223, or BIOM 252 and BIOM 272, or equivalent.","BGGN 223, or BIOM 252 and BIOM 272, or equivalent"
160,BGGN 238A,BGGN,Integrative Microbiology I (4),4.0,To introduce students with structural and functional properties of microorganisms and with the role of microbes in the world. Course will emphasize the integrative aspects of microbiology. First course in series. Prerequisites: graduate standing.,graduate standing
161,BGGN 238B,BGGN,Integrative Microbiology II (4),4.0,To introduce students with structural and functional properties of microorganisms and with the role of microbes in the world. Course will emphasize the integrative aspects of microbiology. Second course in series. Prerequisites: graduate standing.,graduate standing
162,BGGN 240,BGGN,Neural Data Science (4),4.0,"Project-based course in which students will use computational notebooks to perform exploratory data analyses and to test hypotheses in large neuroscience data sets, including the differences between unique neuron types, leveraging text mining of the neuroscience literature, and human neuroimaging analyses. Enrollment restricted to MS students only in the following major code: BI84. May be coscheduled with BIPN 162.",
163,BGGN 245,BGGN,Advanced Topics in Cancer Research and Therapy (2),2.0,"Lectures on basic and advanced concepts in cancer biology, will include defining outstanding contemporary questions and cutting-edge basic and translational research. Will rely on participants reading assigned literature prior to lectures. For doctoral or master’s students. Course will be held at the Salk Institute. S/U grades only. Prerequisites: graduate standing or consent of instructor.",graduate standing or consent of instructor
164,BGGN 246A,BGGN,Computational Neurobiology (2),2.0,"Students read classic and modern papers that form the basis of the undergraduate lectures (BIPN 146), which they are encouraged to attend. Students present these papers at weekly discussion sessions. The focus of 246A is cellular neuronal properties. S/U grades only. Prerequisites: graduate standing or consent of instructor.",graduate standing or consent of instructor
165,BGGN 248,BGGN,Molecular Mechanisms of Neural Development (4),4.0,"This course will cover the cellular and molecular basis of neural development. Focus is on primary research papers and topics include neural induction and neurogenesis, cell patterning, neuronal and glial differentiation, neuronal migration, axon pathfinding, synaptogenesis, neuronal cell death, regeneration, activity-dependent events, topographic maps, invertebrate and vertebrate model systems. Prerequisites: graduate standing or consent of instructor.",graduate standing or consent of instructor
166,BGGN 249A-B-C,BGGN,Basic Neuroscience (4-4-4),4.0,"(Cross-listed with NEU 200A-B-C.) These courses are designed for graduate students in the neurosciences and other departments that are part of the interdisciplinary program (i.e., Biology, Cognitive Science). These courses have been designed to cover as much basic neuroscience as possible in three quarters of study. These are required courses for all first-year neurosciences graduate students. Prerequisites: graduate standing or consent of instructor.",graduate standing or consent of instructor
167,BGGN 250,BGGN,Developmental Neurobiology (4),4.0,"Molecular basis of neuronal cell fate determination, axon pathfinding, synaptogenesis experience-based refinement of connections, and learning in the brain will be examined. Enrollment restricted to MS students only in the following major code: BI84. May be coscheduled with BIPN 144.",
168,BGGN 251,BGGN,Computational Cellular Neurobiology (4),4.0,"Biophysical models of neurons and small neural circuits, including ion channels, synapses, dendrites, and neuromodulators. Analysis of neurons as nonlinear dynamical systems. Enrollment restricted to MS students only in the following major code: BI84. This course and BGGN 252 are taught in alternate years. May be coscheduled with BIPN 146.",
169,BGGN 252,BGGN,Computational Systems Neurobiology (4),4.0,"Models of neural coding and computation in the olfactory, visual, auditory, and somatosensory systems. Models of the motor system including central pattern generators, reinforcement learning, and motor cortex. Models of memory systems including working memory, long-term memory, and memory consolidation. Enrollment restricted to MS students only in the following major code: BI84. This course and BGGN 251 are taught in alternate years. May be coscheduled with BIPN 147.",
170,BGGN 253,BGGN,Neurobiology of Stress and Mental Disorders (4),4.0,"This course will focus on the neurobiological mechanisms that mediate stress-induced behavioral change in animal models and in humans. Topics will range from the effects of stress hormones on brain function, to modern techniques for examining and treating stress-induced, long-lasting mental disorders such as depression and anxiety. Enrollment restricted to MS students only in the following major code: BI84. May be coscheduled with BIPN 154.",
171,BGGN 254,BGGN,Neuroanatomy (4),4.0,The course will cover a broad anatomical and functional description of the human nervous system and explore evidence implicating key brain areas in specific functions. This course will discuss modern techniques and the use of model organisms for dissecting the anatomical organization of the brain. Enrollment restricted to MS students only in the following major code: BI84. May be coscheduled with BIPN 160.,
172,BGGN 255,BGGN,Systems and Circuits Neuroscience (4),4.0,"The course will cover a broad anatomical and functional description of interacting neural networks, or systems, in the brain responsible for sensory perception, internal state, and motor control. Course will discuss modern techniques and the use of model organisms for dissecting the anatomical and functional organization of the brain. Students will read current papers and are expected to participate in discussion of papers. Enrollment restricted to MS students in the following major code: BI84.",
173,BGGN 259,BGGN,Quantitative Physiology (2),2.0,"This course focuses on quantitative biology above the single cell level, from multicellular interactions to organs, organisms, and their physiology. Topics to be addressed include collective cell migration, developmental biology, organ systems, the microbiome, microbial communities, and embryology. Quantitative methods for data collection and analysis will be considered, along with use of mathematical and biophysical modeling. S/U grades only. Enrollment restricted to PhD students in the following major codes: BI77, BI78, BI83, BS75, BS80, CH75, CH81, BE75, BE80, BF78, PY75, PY76, PY81. May be taken for credit up to two times.",
174,BGGN 260,BGGN,Neurodynamics (4),4.0,"Introduction to the nonlinear dynamics of neurons and simple neural systems through nonlinear dynamics, bifurcation theory, and chaotic motions. The dynamics of single cells is considered at different levels of abstraction, e.g., biophysical and “reduced” models for analysis of regularly spiking and bursting cells, their dynamical properties, and their representation in phase space. Laboratory exercises will accompany the lectures. Duplicate credit not allowed for cross-listed courses: BGGN 260, BENG 260, and PHYS 279. Prerequisites: graduate level or consent of instructor.",graduate level or consent of instructor
175,BGGN 262,BGGN,3-D Cryo-Electron Microscopy of Macromolecules and Cells (4),4.0,"(Cross-listed with CHEM 265.) The resolution revolution in cryo-electron microscopy has made this a key technology for the high-resolution determination of structures of macromolecular complexes, organelles, and cells. The basic principles of transmission electron microscopy, modern cryo-electron microscopy, image acquisition, and 3-D reconstruction will be discussed. Examples from the research literature using this state-of-the-art technology will also be discussed. May be coscheduled with BIMM 162/CHEM 165. Students may not receive credit for BGGN 262 and CHEM 265.",
176,BGGN 266,BGGN,Advanced Laboratory in Biophysical Techniques (6),6.0,"Experiments that emphasize biophysical principles through hands-on experience, with an emphasis on the blending of physical measurements with a clearly identified biological problem. Exercises include the use of optical tweezers to measure viscous forces at the level of cellular organelles, the characterization of sensorimotor control in the fly during visually guided flight, and the use of microscopic imaging techniques to characterize cell motility and organelle transport. Includes instruction in LabView. Students are encouraged to attend the PHYS 173 undergraduate lectures. Prerequisites: graduate standing or consent of instructor. PHYS 120A, BILD 1, and CHEM 6CL for undergraduates.","graduate standing or consent of instructor PHYS 120A, BILD 1, and CHEM 6CL for undergraduates"
177,BGGN 271,BGGN,Advanced Experimental Methods in Biology (4–12),4.0,Advanced laboratory and/or field experience in contemporary biological methodology. Open only to students enrolled in the integrated BS/MS program. Prerequisites: consent of instructor and approval of division chair.,consent of instructor and approval of division chair
178,BGGN 280,BGGN,Advanced Topics in Modern Biology: Biochemistry (2),2.0,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the Division of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84. Students may receive credit only once for BGGN 280 on a given topic. May be coscheduled with BIBC 194. Students may not receive credit for BGGN 280 on the same topic taken previously as BIBC 194.",
179,BGGN 281,BGGN,Advanced Topics in Modern Biology: Cellular Development (2),2.0,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the Division of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84. Students may receive credit only once for BGGN 281 on a given topic. May be coscheduled with BICD 194. Students may not receive credit for BGGN 281 on the same topic taken previously as BICD 194.",
180,BGGN 282,BGGN,"Advanced Topics in Modern Biology: Ecology, Behavior, and Evolution (2)",2.0,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the Division of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84. Students may receive credit only once for BGGN 282 on a given topic. May be coscheduled with BIEB 194. Students may not receive credit for BGGN 282 on the same topic taken previously as BIEB 194.",
181,BGGN 283,BGGN,Advanced Topics in Modern Biology: Molecular Biology (2),2.0,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the Division of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84. Students may receive credit only once for BGGN 283 on a given topic. May be coscheduled with BIMM 194. Students may not receive credit for BGGN 283 on the same topic taken previously as BIMM 194.",
182,BGGN 284,BGGN,Advanced Topics in Modern Biology: Physiology and Neuroscience (2),2.0,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the Division of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84. Students may receive credit only once for BGGN 284 on a given topic. May be coscheduled with BIPN 194. Students may not receive credit for BGGN 284 on the same topic taken previously as BIPN 194.",
183,BGGN 285,BGGN,Advanced Topics in Modern Biology (2),2.0,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the Division of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84. Students may receive credit only once for BGGN 285 on a given topic. May be coscheduled with BISP 194. Students may not receive credit for BGGN 285 on the same topic taken previously as BISP 194.",
184,BGGN 290,BGGN,Advances in Cellular and Molecular Mechanisms (1),1.0,"Students present and discuss papers on recent discoveries involving basic mechanistic research into biological phenomena. Papers are selected by instructors from visiting seminar speaker’s research from the biological sciences and biochemistry seminar series. S/U grades only. Prerequisites: graduate (PhD) standing only; for students in the following major code BI77, or consent of instructor.","graduate (PhD) standing only; for students in the following major code BI77, or consent of instructor"
185,BGGN 292,BGGN,Professional Pathways in Biological Sciences (1),1.0,"Students meet experienced science professionals from a wide variety of backgrounds, including academia, science industry, and allied roles. Through discussions with these professionals, students will refine and improve their professional skills, including communication and presentation expertise, and develop a personal career action plan. S/U grades only. Prerequisites: graduate (PhD) standing only; for students in the following major code BI77; or consent of instructor.",graduate (PhD) standing only; for students in the following major code BI77; or consent of instructor
186,BGGN 293,BGGN,Scientific Writing in Biology (4),4.0,"This course offers training in writing about students’ own research; presenting the background to their thesis, preparing a figure, analyzing, and discussing data in a written form. Using published literature on scientific writing, students will practice revising their own writing and providing constructive feedback to their peers. Letter grades only. Enrollment restricted to MS students only in the following major code: BI84.",
187,BGGN 295,BGGN,Scientific Presentation in Biology (4),4.0,"Students learn effective ways of presenting their research to biologists and to the general public. Examples of posters and research talks will be analyzed and discussed. Students will practice presentations of their research as well as write about their findings for grant reviewers and nonscientist audiences. As a final project, students will prepare and present a poster of their research in the Biological Sciences Student Research Showcase. Letter grades only. Enrollment restricted to MS students only in the following major code: BI84.",
188,BGGN 297,BGGN,Research Conference (1–3),1.0,Group and individual discussion of research activities and of current literature. S/U grades only. Prerequisites: graduate standing.,graduate standing
189,BGGN 298,BGGN,Laboratory Projects in Biology (3–12),3.0,"An introduction to contemporary laboratory techniques and research interests through independent, original projects under the direction of individual faculty members. S/U grades only. Prerequisites: consent of instructor.",consent of instructor
190,BGGN 299,BGGN,Thesis Research in Biology (1–12),1.0,Directed research on dissertation topic. S/U grades only. Prerequisites: graduate standing.,graduate standing
191,BGGN 500,BGGN,Introduction to College Biology Education (4),4.0,"Through interactive discussions, students will explore topics such as how people learn, evidence-based teaching practices, professional ethics, and equity and inclusion in the classroom. Students will also participate in apprentice teaching under mentorship of faculty. S/U grades only. Prerequisites: department approval required. Enrollment restricted to biological sciences graduate students.",department approval required Enrollment restricted to biological sciences graduate students
192,BGJC 207,BGJC,Journal Club in Neurobiology (1),1.0,Weekly presentations and discussions pertaining to research results reported in recently published literature. S/U grades only. May be taken for credit sixteen times. Prerequisites: graduate standing or consent of instructor.,graduate standing or consent of instructor
193,BGJC 208,BGJC,Journal Club in Plant Molecular Biology (1),1.0,Weekly presentations and discussions pertaining to research results reported in recently published literature. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
194,BGJC 213,BGJC,Journal Club in Computational Neurobiology (1),1.0,Weekly presentations and discussions pertaining to research results reported in recently published literature. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
195,BGRD 200,BGRD,Research Discussion (1),1.0,"Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Undergraduates enrolled in BISP 193, 196, or 199 may be authorized to enroll.",
196,BGRD 205,BGRD,Research Discussion in Plant Membrane Biology (1),1.0,Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
197,BGRD 207,BGRD,Research Discussion in Neuronal Pattern Generation (1),1.0,Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
198,BGRD 210,BGRD,Research Discussion in Virology (1),1.0,Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
199,BGRD 211,BGRD,Research Discussion in Developmental Cellular Neurobiology (1),1.0,Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
200,BGRD 212,BGRD,Research Discussion in Behavior and Development of Simple Nervous Systems (1),1.0,Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
201,BGRD 213,BGRD,Research Discussion in Golgi Structure and Function (1),1.0,Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
202,BGRD 216,BGRD,Research Discussion in Molecular and Cell Biology (1),1.0,Presentations of new research results and discussions of closely related published reports. All students are expected to report on their own research findings each quarter. S/U grades only. May be taken for credit sixteen times. Prerequisites: none for graduate students. Undergraduates must be seniors or enrolled in BISP 199.,none for graduate students Undergraduates must be seniors or enrolled in BISP 199
